"Date","Storage"
"2015-3-1",19.9
"2017-8-9",4
"2017-8-10",4
"2018-1-31",2.333
"2018-1-31",2.333
"2018-1-31",2.3
"2018-3-22",1.2
"2018-4-15",3
"2019-1-16",6
"2019-1-31",12.062821
"2019-1-31",12.062
"2019-1-31",12.1
"2019-2-4",13
"2019-2-7",13
"2019-2-8",13
"2019-2-12",15.7
"2019-2-13",15.5
"2019-2-18",20
"2019-2-24",20.107507
"2019-2-26",24.9
"2020-1-8",21.2
"2020-1-10",25.3
"2020-5-28",25
"2020-6-15",22.9
"2020-11-10",21
"2020-12-16",22.3
"2021-3-2",24.85
"2021-3-3",25.27
"2022-1-18",16.5
"2022-1-19",16.5
"2022-3-23",25
"2022-11-29",14.5
"2023-1-4",12.3
"2023-1-10",12
"2023-1-19",12
"2023-1-22",12
"2023-2-24",10.626
"2023-3-1",10.23
"2023-3-22",10
"2023-5-26",8.8
"2023-5-29",8.8
"2023-7-3",7.8
"2023-8-6",5
"2023-9-29",4.9
"2023-9-29",4.9
"2023-10-24",4.6
"2023-10-24",4.6
"2023-11-22",4
"2024-1-2",3.2
"2024-1-8",3
"2024-2-2",3.2
"2024-2-4",4
"2024-2-8",3.9
"2024-2-15",4.1
"2024-2-17",5.6
"2024-2-17",5.6
"2024-2-19",6.4
"2024-2-22",6.55
"2024-3-1",7.35
"2024-3-21",7.5
"2024-3-22",7
"2024-6-11",5.8
"2024-6-19",6
"2024-7-2",5.9
"2024-7-9",5.9
"2024-9-2",4.5
"2024-9-6",4
"2024-10-8",3.7
"2024-10-18",3.98
"2024-11-8",3
"2024-12-8",3
"2025-1-3",2.6
"2025-1-27",2.6
"2025-1-31",2.3
"2025-2-15",2.178
"2025-2-24",2.4
"2025-2-27",2.23
"2025-3-6",2.8
"2025-3-6",3
"2025-3-7",3.09
"2025-3-10",3.226
"2025-4-25",3.5
"2025-4-25",3.5
"2025-4-26",3.32
"2025-5-2",4.5
"2025-5-8",3.5
"2025-6-14",4.3
"2025-7-8",4
"2025-8-6",3
"2025-8-7",3.5
"2025-8-14",4